     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
        17   -0.8737992617E+01   -0.8762996716E+01    0.7736345414E+01    0.2214583333E+02    0.1042278719E+01    0.9750000000E+01    0.8100000000E+00    0.7028522748E+00
        18   -0.7857762062E+01   -0.8066309112E+01    0.5802259061E+01    0.2104166667E+02    0.1078394450E+01    0.8875000000E+01    0.8100000000E+00    0.6764402677E+00
        19   -0.7314008898E+01   -0.7542376436E+01    0.4641807249E+01    0.2041666667E+02    0.1051991828E+01    0.8958333333E+01    0.8100000000E+00    0.6530019565E+00
        20   -0.7882446078E+01   -0.8411509871E+01    0.1160451812E+02    0.1263750000E+02    0.1184158416E+00    0.1030000000E+02    0.3040000000E+00    0.5115593902E+00
        21   -0.6997385282E+01   -0.7128130821E+01    0.7736345414E+01    0.1170000000E+02    0.1152085561E+00    0.9400000000E+01    0.3040000000E+00    0.4954509095E+00
        22   -0.6447065451E+01   -0.6463110904E+01    0.5802259061E+01    0.1168750000E+02    0.1186295503E+00    0.9325000000E+01    0.3040000000E+00    0.4818665661E+00
        23   -0.6099512226E+01   -0.6025411424E+01    0.4641807249E+01    0.1101250000E+02    0.1131363636E+00    0.8875000000E+01    0.3040000000E+00    0.4588232221E+00
        24   -0.9300845116E+01   -0.8954721675E+01    0.7736345414E+01    0.1550000000E+02    0.9797402597E+00    0.1200000000E+01    0.1073333333E+00    0.6076909455E+00
        25   -0.8402229237E+01   -0.8025617965E+01    0.5802259061E+01    0.1430000000E+02    0.9264788732E+00    0.1800000000E+01    0.1073333333E+00    0.5925698996E+00
        26   -0.7647259536E+01   -0.7699187662E+01    0.4641807249E+01    0.1500000000E+02    0.9230872483E+00    0.1800000000E+01    0.1073333333E+00    0.5773730988E+00
        27   -0.8937083342E+01   -0.8626804639E+01    0.1160451812E+02    0.9200000000E+01    0.1271868132E+01    0.1000000000E+01    0.1353333333E+00    0.2386680785E+00
        28   -0.7476134100E+01   -0.7258190581E+01    0.7736345414E+01    0.8000000000E+01    0.1369113924E+01    0.2000000000E+00    0.1353333333E+00    0.2258317945E+00
        29   -0.6439419039E+01   -0.6600195187E+01    0.5802259061E+01    0.8000000000E+01    0.1337594937E+01    0.4000000000E+00    0.1353333333E+00    0.2340361904E+00
        30   -0.6044958999E+01   -0.6219178732E+01    0.4641807249E+01    0.8300000000E+01    0.1307804878E+01    0.6000000000E+00    0.1353333333E+00    0.2315423789E+00
        31   -0.7890577984E+01   -0.9018705348E+01    0.1160451812E+02    0.9100000000E+01    0.1201000000E+01    0.8000000000E+00    0.1233333333E+00    0.4120710564E+00
        32   -0.7318463659E+01   -0.7639805235E+01    0.7736345414E+01    0.8700000000E+01    0.1183837209E+01    0.8000000000E+00    0.1233333333E+00    0.3945937615E+00
        33   -0.6821893963E+01   -0.6946652477E+01    0.5802259061E+01    0.8600000000E+01    0.1130470588E+01    0.1000000000E+01    0.1233333333E+00    0.3876023198E+00
        34   -0.6394894827E+01   -0.6513620110E+01    0.4641807249E+01    0.7900000000E+01    0.1276538461E+01    0.4000000000E+00    0.1233333333E+00    0.3835231652E+00
        35   -0.8886107735E+01   -0.9086711629E+01    0.1160451812E+02    0.1440000000E+02    0.4985391304E+00    0.6700000000E+01    0.4655000000E+00    0.4257878247E+00
        36   -0.7674632534E+01   -0.7749461488E+01    0.7736345414E+01    0.1397500000E+02    0.5058781362E+00    0.6400000000E+01    0.4655000000E+00    0.4073407690E+00
        37   -0.7016636987E+01   -0.7018024231E+01    0.5802259061E+01    0.1390000000E+02    0.4837477477E+00    0.6700000000E+01    0.4655000000E+00    0.3949273047E+00
        38   -0.6543344831E+01   -0.6541650193E+01    0.4641807249E+01    0.1280000000E+02    0.4811154599E+00    0.6200000000E+01    0.4655000000E+00    0.3763471140E+00
        39   -0.1035408707E+02   -0.9972551859E+01    0.1160451812E+02    0.2546000000E+02    0.1055597484E+01    0.1108000000E+02    0.8301003344E+00    0.5627108574E+00
        40   -0.8535681043E+01   -0.8542310134E+01    0.7736345414E+01    0.2352000000E+02    0.1047012766E+01    0.1020000000E+02    0.8301003344E+00    0.5399199025E+00
        41   -0.7794834356E+01   -0.7885890310E+01    0.5802259061E+01    0.2332000000E+02    0.1081339056E+01    0.9760000000E+01    0.8301003344E+00    0.5146527452E+00
        42   -0.7220717280E+01   -0.7357563214E+01    0.4641807249E+01    0.2290000000E+02    0.1040402098E+01    0.1008000000E+02    0.8301003344E+00    0.4949502300E+00
        43   -0.9404947488E+01   -0.9557515397E+01    0.1160451812E+02    0.1446666667E+02    0.6775981524E+00    0.3466666667E+01    0.2172500000E+00    0.4535896638E+00
        44   -0.7915852959E+01   -0.8156989742E+01    0.7736345414E+01    0.1393333333E+02    0.6746282974E+00    0.3466666667E+01    0.2172500000E+00    0.4367856074E+00
        45   -0.7339019850E+01   -0.7382734981E+01    0.5802259061E+01    0.1320000000E+02    0.6515189873E+00    0.3533333333E+01    0.2172500000E+00    0.4241731506E+00
        46   -0.6872577825E+01   -0.6940384150E+01    0.4641807249E+01    0.1270000000E+02    0.6522105263E+00    0.3333333333E+01    0.2172500000E+00    0.4119327368E+00
        47   -0.9964320946E+01   -0.9344764434E+01    0.1160451812E+02    0.1643636364E+02    0.3890697674E+00    0.8545454546E+01    0.3963636364E+00    0.5913604684E+00
        48   -0.8250322175E+01   -0.7936063694E+01    0.7736345414E+01    0.1680000000E+02    0.3682881907E+00    0.9272727273E+01    0.3963636364E+00    0.5762917393E+00
        49   -0.7579014753E+01   -0.7322168560E+01    0.5802259061E+01    0.1663636364E+02    0.3885557987E+00    0.8690909091E+01    0.3963636364E+00    0.5539026027E+00
        50   -0.7058814476E+01   -0.6837059910E+01    0.4641807249E+01    0.1501818182E+02    0.3905818182E+00    0.7854545455E+01    0.3963636364E+00    0.5343691519E+00
        51   -0.8257174368E+01   -0.8809994132E+01    0.1160451812E+02    0.1378571429E+02    0.2616681072E+00    0.1002380952E+02    0.7181250000E+00    0.5273090034E+00
        52   -0.7336286271E+01   -0.7480113252E+01    0.7736345414E+01    0.1385714286E+02    0.2554170249E+00    0.1016666667E+02    0.7181250000E+00    0.5188399686E+00
        53   -0.6807875284E+01   -0.6799863927E+01    0.5802259061E+01    0.1321428571E+02    0.2590171326E+00    0.9642857143E+01    0.7181250000E+00    0.4970239081E+00
        54   -0.6373681617E+01   -0.6356344098E+01    0.4641807249E+01    0.1248809524E+02    0.2567557252E+00    0.9142857143E+01    0.7181250000E+00    0.4703652049E+00
        55   -0.7838608532E+01   -0.8431691336E+01    0.1160451812E+02    0.1220238095E+02    0.6599609380E-01    0.9690476191E+01    0.2720000000E+00    0.4915078839E+00
        56   -0.6968753939E+01   -0.7081024134E+01    0.7736345414E+01    0.1189285714E+02    0.6939879760E-01    0.9523809524E+01    0.2720000000E+00    0.4705097706E+00
        57   -0.6538576426E+01   -0.6419377926E+01    0.5802259061E+01    0.1105952381E+02    0.6812500000E-01    0.8857142857E+01    0.2720000000E+00    0.4561878198E+00
        58   -0.6196685620E+01   -0.5998457468E+01    0.4641807249E+01    0.1094047619E+02    0.6773420480E-01    0.8785714286E+01    0.2720000000E+00    0.4414677920E+00
        59   -0.8066179676E+01   -0.8585741549E+01    0.1160451812E+02    0.1555952381E+02    0.1563859112E+00    0.1288095238E+02    0.7253333333E+00    0.5444334872E+00
        60   -0.7201876841E+01   -0.7279501924E+01    0.7736345414E+01    0.1516666667E+02    0.1667714061E+00    0.1238095238E+02    0.7253333333E+00    0.5212051302E+00
        61   -0.6681814603E+01   -0.6610235012E+01    0.5802259061E+01    0.1467857143E+02    0.1655681818E+00    0.1200000000E+02    0.7253333333E+00    0.5071845922E+00
        62   -0.6312355997E+01   -0.6245533380E+01    0.4641807249E+01    0.1460714286E+02    0.1826590538E+00    0.1166666667E+02    0.7253333333E+00    0.4962334050E+00
        63   -0.8814767363E+01   -0.8865956185E+01    0.1160451812E+02    0.1410714286E+02    0.2922128378E+00    0.9833333333E+01    0.7200000000E+00    0.5216528840E+00
        64   -0.7604099765E+01   -0.7467180465E+01    0.7736345414E+01    0.1357142857E+02    0.2676733977E+00    0.9809523809E+01    0.7200000000E+00    0.4995119025E+00
        65   -0.6948301999E+01   -0.6779987436E+01    0.5802259061E+01    0.1295238095E+02    0.2726034959E+00    0.9285714286E+01    0.7200000000E+00    0.4729124548E+00
        66   -0.6518686119E+01   -0.6326478304E+01    0.4641807249E+01    0.1275000000E+02    0.2527289720E+00    0.9404761905E+01    0.7200000000E+00    0.4615059513E+00
        67   -0.7998266669E+01   -0.8572570478E+01    0.1160451812E+02    0.1461904762E+02    0.1767155664E+00    0.1183333333E+02    0.7413333333E+00    0.5010819817E+00
        68   -0.7064817594E+01   -0.7258021126E+01    0.7736345414E+01    0.1453571429E+02    0.1845737705E+00    0.1164285714E+02    0.7413333333E+00    0.4818943030E+00
        69   -0.6609165537E+01   -0.6583162446E+01    0.5802259061E+01    0.1383333333E+02    0.1819896641E+00    0.1111904762E+02    0.7413333333E+00    0.4655027587E+00
        70   -0.6191707090E+01   -0.6191833097E+01    0.4641807249E+01    0.1321428571E+02    0.1905590622E+00    0.1050000000E+02    0.7413333333E+00    0.4488095982E+00
        71   -0.8498677176E+01   -0.8772449795E+01    0.1160451812E+02    0.1498809524E+02    0.2419713831E+00    0.1190476190E+02    0.9386666667E+00    0.5437673103E+00
        72   -0.7417949102E+01   -0.7456603722E+01    0.7736345414E+01    0.1482142857E+02    0.2530546624E+00    0.1164285714E+02    0.9386666667E+00    0.5233289088E+00
        73   -0.6817227608E+01   -0.6765597579E+01    0.5802259061E+01    0.1450000000E+02    0.2471815941E+00    0.1142857143E+02    0.9386666667E+00    0.5022152099E+00
        74   -0.6427985928E+01   -0.6321333793E+01    0.4641807249E+01    0.1400000000E+02    0.2315063830E+00    0.1126190476E+02    0.9386666667E+00    0.4890071124E+00
        75   -0.8859097756E+01   -0.8700992258E+01    0.1160451812E+02    0.1341666667E+02    0.2351154529E+00    0.1026190476E+02    0.8000000000E+00    0.4926385299E+00
        76   -0.7544220281E+01   -0.7395256199E+01    0.7736345414E+01    0.1286904762E+02    0.2507962963E+00    0.9642857143E+01    0.8000000000E+00    0.4696868247E+00
        77   -0.6838705916E+01   -0.6664802376E+01    0.5802259061E+01    0.1270238095E+02    0.2296810507E+00    0.9785714286E+01    0.8000000000E+00    0.4492469410E+00
        78   -0.6390182052E+01   -0.6231708662E+01    0.4641807249E+01    0.1195238095E+02    0.2209172483E+00    0.9309523809E+01    0.8000000000E+00    0.4303550605E+00
        79   -0.8114065145E+01   -0.8555642615E+01    0.1160451812E+02    0.1433333333E+02    0.2145635910E+00    0.1135714286E+02    0.8266666667E+00    0.4514086198E+00
        80   -0.7035634333E+01   -0.7234324832E+01    0.7736345414E+01    0.1378571429E+02    0.2229559205E+00    0.1080952381E+02    0.8266666667E+00    0.4259670887E+00
        81   -0.6552085430E+01   -0.6573335622E+01    0.5802259061E+01    0.1308333333E+02    0.2266848816E+00    0.1021428571E+02    0.8266666667E+00    0.4110220202E+00
        82   -0.6133278189E+01   -0.6168793320E+01    0.4641807249E+01    0.1264285714E+02    0.2298209237E+00    0.9833333333E+01    0.8266666667E+00    0.3972709868E+00
        83   -0.8373248704E+01   -0.8719855861E+01    0.1160451812E+02    0.1378571429E+02    0.2748573898E+00    0.1097619048E+02    0.1098666667E+01    0.4733879106E+00
        84   -0.7327403798E+01   -0.7399027393E+01    0.7736345414E+01    0.1328571429E+02    0.2818654709E+00    0.1050000000E+02    0.1098666667E+01    0.4514947002E+00
        85   -0.6780141083E+01   -0.6726349539E+01    0.5802259061E+01    0.1254761905E+02    0.2911965812E+00    0.9833333333E+01    0.1098666667E+01    0.4274260707E+00
        86   -0.6347637274E+01   -0.6316760270E+01    0.4641807249E+01    0.1207142857E+02    0.2980552813E+00    0.9428571429E+01    0.1098666667E+01    0.4119796736E+00
        87   -0.9669969206E+01   -0.9502337119E+01    0.1160451812E+02    0.2138461538E+02    0.9383258326E+00    0.1053846154E+02    0.9338461538E+00    0.4947956624E+00
        88   -0.8171686177E+01   -0.8129716038E+01    0.7736345414E+01    0.2042307692E+02    0.9448821866E+00    0.9961538461E+01    0.9338461538E+00    0.4678136167E+00
        89   -0.7504977923E+01   -0.7477306390E+01    0.5802259061E+01    0.2003846154E+02    0.9680499520E+00    0.9500000000E+01    0.9338461538E+00    0.4525322294E+00
        90   -0.7004644775E+01   -0.7029421085E+01    0.4641807249E+01    0.1946153846E+02    0.9825123640E+00    0.9192307692E+01    0.9338461538E+00    0.4351202811E+00
        91   -0.8788187942E+01   -0.9034392153E+01    0.1160451812E+02    0.1185714286E+02    0.6798390342E+00    0.4428571429E+01    0.4297142857E+00    0.3979926965E+00
        92   -0.7549831850E+01   -0.7750908683E+01    0.7736345414E+01    0.1121428571E+02    0.7218723404E+00    0.3714285714E+01    0.4297142857E+00    0.3885511381E+00
        93   -0.7051707523E+01   -0.7015385362E+01    0.5802259061E+01    0.1073809524E+02    0.7069777778E+00    0.3714285714E+01    0.4297142857E+00    0.3737214137E+00
        94   -0.6689903384E+01   -0.6529763352E+01    0.4641807249E+01    0.1054761905E+02    0.6734389140E+00    0.4000000000E+01    0.4297142857E+00    0.3584860094E+00
        95   -0.8882908159E+01   -0.9047951314E+01    0.1160451812E+02    0.1202380952E+02    0.6949007937E+00    0.4380952381E+01    0.4314285714E+00    0.3917814208E+00
        96   -0.7703309120E+01   -0.7670452263E+01    0.7736345414E+01    0.1190476190E+02    0.6661723447E+00    0.4666666667E+01    0.4314285714E+00    0.3811139550E+00
        97   -0.6963189662E+01   -0.6997314684E+01    0.5802259061E+01    0.1064285714E+02    0.7149775785E+00    0.3666666667E+01    0.4314285714E+00    0.3675596160E+00
        98   -0.6649709480E+01   -0.6582852014E+01    0.4641807249E+01    0.1050000000E+02    0.7124318182E+00    0.3571428571E+01    0.4314285714E+00    0.3549883640E+00
        99   -0.8870992275E+01   -0.9144587082E+01    0.1160451812E+02    0.1373214286E+02    0.2918359375E+00    0.6392857143E+01    0.2703571429E+00    0.4818523758E+00
       100   -0.7682920433E+01   -0.7759233580E+01    0.7736345414E+01    0.1280357143E+02    0.2893156425E+00    0.6000000000E+01    0.2703571429E+00    0.4618607176E+00
       101   -0.7056175708E+01   -0.7025373639E+01    0.5802259061E+01    0.1255357143E+02    0.2941880342E+00    0.6071428571E+01    0.2703571429E+00    0.4434791061E+00
       102   -0.6585778742E+01   -0.6544785387E+01    0.4641807249E+01    0.1191071429E+02    0.2721921922E+00    0.5964285714E+01    0.2703571429E+00    0.4258700177E+00
       103   -0.8498823453E+01   -0.8854160348E+01    0.1160451812E+02    0.1321666667E+02    0.7144444444E+00    0.8033333333E+01    0.1156800000E+01    0.3708153679E+00
       104   -0.7312889042E+01   -0.7513681353E+01    0.7736345414E+01    0.1211666667E+02    0.7555096419E+00    0.7133333333E+01    0.1156800000E+01    0.3453231951E+00
       105   -0.6728360334E+01   -0.6812352727E+01    0.5802259061E+01    0.1206666667E+02    0.7549654219E+00    0.7200000000E+01    0.1156800000E+01    0.3285746273E+00
       106   -0.6314703278E+01   -0.6381397591E+01    0.4641807249E+01    0.1106666667E+02    0.7528506787E+00    0.6566666667E+01    0.1156800000E+01    0.3137257670E+00
       107   -0.9832829668E+01   -0.9086178711E+01    0.1160451812E+02    0.1301666667E+02    0.4719230769E+00    0.7066666667E+01    0.6264000000E+00    0.5031973911E+00
       108   -0.7990853830E+01   -0.7730991588E+01    0.7736345414E+01    0.1296666667E+02    0.4720205920E+00    0.7066666667E+01    0.6264000000E+00    0.4778734764E+00
       109   -0.7156951524E+01   -0.6914139144E+01    0.5802259061E+01    0.1153333333E+02    0.4471780029E+00    0.6566666667E+01    0.6264000000E+00    0.4364991886E+00
       110   -0.6769534611E+01   -0.6556233595E+01    0.4641807249E+01    0.1158333333E+02    0.4649279539E+00    0.6433333333E+01    0.6264000000E+00    0.4398492282E+00
       111   -0.8796708040E+01   -0.8752841875E+01    0.1160451812E+02    0.1508000000E+02    0.2407964602E+00    0.1096000000E+02    0.6585000000E+00    0.5132130432E+00
       112   -0.7631360842E+01   -0.7411160026E+01    0.7736345414E+01    0.1470666667E+02    0.2398548094E+00    0.1069333333E+02    0.6585000000E+00    0.4906913777E+00
       113   -0.6898200274E+01   -0.6738585695E+01    0.5802259061E+01    0.1374666667E+02    0.2480970874E+00    0.9866666667E+01    0.6585000000E+00    0.4660490224E+00
       114   -0.6507269748E+01   -0.6274465010E+01    0.4641807249E+01    0.1354666667E+02    0.2321576355E+00    0.9973333333E+01    0.6585000000E+00    0.4487718943E+00
       115   -0.9209115123E+01   -0.8806037521E+01    0.1160451812E+02    0.1429333333E+02    0.2517927171E+00    0.1037333333E+02    0.6735000000E+00    0.5346535141E+00
       116   -0.7699190047E+01   -0.7493057637E+01    0.7736345414E+01    0.1357333333E+02    0.2670894789E+00    0.9626666667E+01    0.6735000000E+00    0.5073695141E+00
       117   -0.6976562632E+01   -0.6754637085E+01    0.5802259061E+01    0.1317333333E+02    0.2494832827E+00    0.9600000000E+01    0.6735000000E+00    0.4830594079E+00
       118   -0.6518026947E+01   -0.6342559286E+01    0.4641807249E+01    0.1248000000E+02    0.2578502674E+00    0.8960000000E+01    0.6735000000E+00    0.4588700691E+00
       119   -0.9185977570E+01   -0.8792898123E+01    0.1160451812E+02    0.1400000000E+02    0.2777121068E+00    0.9946666667E+01    0.7170000000E+00    0.5008052752E+00
       120   -0.7662536403E+01   -0.7443092383E+01    0.7736345414E+01    0.1368000000E+02    0.2780097561E+00    0.9706666667E+01    0.7170000000E+00    0.4734526274E+00
       121   -0.6968416208E+01   -0.6744909776E+01    0.5802259061E+01    0.1320000000E+02    0.2730030334E+00    0.9440000000E+01    0.7170000000E+00    0.4544296149E+00
       122   -0.6533169192E+01   -0.6294881009E+01    0.4641807249E+01    0.1285333333E+02    0.2603946002E+00    0.9360000000E+01    0.7170000000E+00    0.4369731349E+00
       123   -0.9189391343E+01   -0.9450691590E+01    0.1160451812E+02    0.1998333333E+02    0.1039115192E+01    0.1186666667E+02    0.1557600000E+01    0.5399550621E+00
       124   -0.7786104000E+01   -0.7994852980E+01    0.7736345414E+01    0.1843333333E+02    0.1011819004E+01    0.1113333333E+02    0.1557600000E+01    0.4888876963E+00
       125   -0.7249148162E+01   -0.7439087570E+01    0.5802259061E+01    0.1845000000E+02    0.1064267631E+01    0.1083333333E+02    0.1557600000E+01    0.5163196919E+00
       126   -0.6809951665E+01   -0.6946162255E+01    0.4641807249E+01    0.1796666667E+02    0.1030844940E+01    0.1080000000E+02    0.1557600000E+01    0.4867835748E+00
       127   -0.9081007405E+01   -0.8865033524E+01    0.1160451812E+02    0.1380000000E+02    0.2985493230E+00    0.9760000000E+01    0.7710000000E+00    0.5222275780E+00
       128   -0.7641392634E+01   -0.7488600849E+01    0.7736345414E+01    0.1317333333E+02    0.2948733536E+00    0.9386666667E+01    0.7710000000E+00    0.4884547781E+00
       129   -0.6939259259E+01   -0.6814487316E+01    0.5802259061E+01    0.1301333333E+02    0.3012512821E+00    0.9200000000E+01    0.7710000000E+00    0.4701138314E+00
       130   -0.6465216890E+01   -0.6314719294E+01    0.4641807249E+01    0.1228000000E+02    0.2761521739E+00    0.8986666667E+01    0.7710000000E+00    0.4383059161E+00
       131   -0.8800885899E+01   -0.8756193824E+01    0.1160451812E+02    0.1434666667E+02    0.2327813953E+00    0.1064000000E+02    0.6540000000E+00    0.5327485619E+00
       132   -0.7607668296E+01   -0.7438731544E+01    0.7736345414E+01    0.1381333333E+02    0.2396135266E+00    0.1008000000E+02    0.6540000000E+00    0.5068353678E+00
       133   -0.6924314021E+01   -0.6696647151E+01    0.5802259061E+01    0.1328000000E+02    0.2214271357E+00    0.1000000000E+02    0.6540000000E+00    0.4843464375E+00
       134   -0.6509957557E+01   -0.6289588671E+01    0.4641807249E+01    0.1324000000E+02    0.2269556452E+00    0.9866666667E+01    0.6540000000E+00    0.4666890446E+00
       135   -0.7981166889E+01   -0.8513183423E+01    0.1160451812E+02    0.1433750000E+02    0.1386038394E+00    0.1205000000E+02    0.6940000000E+00    0.5154388689E+00
       136   -0.7061834978E+01   -0.7159290150E+01    0.7736345414E+01    0.1385000000E+02    0.1338843722E+00    0.1172500000E+02    0.6940000000E+00    0.4881211191E+00
       137   -0.6461672741E+01   -0.6471896588E+01    0.5802259061E+01    0.1295000000E+02    0.1292463768E+00    0.1102500000E+02    0.6940000000E+00    0.4615343575E+00
       138   -0.6244505041E+01   -0.6174842575E+01    0.4641807249E+01    0.1346250000E+02    0.1625557621E+00    0.1095000000E+02    0.6940000000E+00    0.4733597568E+00
       139   -0.8231107142E+01   -0.8791040441E+01    0.1160451812E+02    0.1546250000E+02    0.2413592233E+00    0.1220000000E+02    0.9160000000E+00    0.5554449625E+00
       140   -0.7216520310E+01   -0.7431851001E+01    0.7736345414E+01    0.1438750000E+02    0.2381565217E+00    0.1140000000E+02    0.9160000000E+00    0.5198448420E+00
       141   -0.6663088151E+01   -0.6767368256E+01    0.5802259061E+01    0.1457500000E+02    0.2429699571E+00    0.1147500000E+02    0.9160000000E+00    0.5077152197E+00
       142   -0.6340609399E+01   -0.6369559051E+01    0.4641807249E+01    0.1412500000E+02    0.2463596103E+00    0.1110000000E+02    0.9160000000E+00    0.4985648112E+00
       143   -0.8228729799E+01   -0.9029518096E+01    0.1160451812E+02    0.1585000000E+02    0.4000631413E+00    0.1300000000E+02    0.1752000000E+01    0.5334624652E+00
       144   -0.7247450203E+01   -0.7740746156E+01    0.7736345414E+01    0.1528750000E+02    0.4208346972E+00    0.1240000000E+02    0.1752000000E+01    0.5227361764E+00
       145   -0.6652501465E+01   -0.7076580120E+01    0.5802259061E+01    0.1433750000E+02    0.4082198953E+00    0.1167500000E+02    0.1752000000E+01    0.5071795474E+00
       146   -0.6236691911E+01   -0.6636083488E+01    0.4641807249E+01    0.1397500000E+02    0.4170456580E+00    0.1135000000E+02    0.1752000000E+01    0.4766587460E+00
       147   -0.9487380604E+01   -0.9717250138E+01    0.1160451812E+02    0.1731578947E+02    0.5066531440E+00    0.7789473684E+01    0.4600000000E+00    0.6546083973E+00
       148   -0.8221768049E+01   -0.8298459642E+01    0.7736345414E+01    0.1715789474E+02    0.4877789150E+00    0.8070175439E+01    0.4600000000E+00    0.6272635979E+00
       149   -0.7450361430E+01   -0.7613325176E+01    0.5802259061E+01    0.1671929825E+02    0.4918907563E+00    0.7789473684E+01    0.4600000000E+00    0.6124753097E+00
       150   -0.7016113171E+01   -0.7121918020E+01    0.4641807249E+01    0.1645614035E+02    0.4830736393E+00    0.7824561403E+01    0.4600000000E+00    0.5803557364E+00
       151   -0.8752368839E+01   -0.9520453718E+01    0.1160451812E+02    0.1497368421E+02    0.7337323944E+00    0.3052631579E+01    0.2131707317E+00    0.3747171833E+00
       152   -0.7713498198E+01   -0.8145352300E+01    0.7736345414E+01    0.1439473684E+02    0.7329670330E+00    0.2947368421E+01    0.2131707317E+00    0.3641763805E+00
       153   -0.7094603908E+01   -0.7362289433E+01    0.5802259061E+01    0.1410526316E+02    0.6981682243E+00    0.3421052632E+01    0.2131707317E+00    0.3539105279E+00
       154   -0.6699313268E+01   -0.6954471483E+01    0.4641807249E+01    0.1307894737E+02    0.7400806452E+00    0.2578947368E+01    0.2131707317E+00    0.3412206458E+00
       155   -0.9019953097E+01   -0.8866814347E+01    0.1160451812E+02    0.1470000000E+02    0.3244595745E+00    0.9450000000E+01    0.6053333333E+00    0.4836666373E+00
       156   -0.7624860987E+01   -0.7532405976E+01    0.7736345414E+01    0.1443750000E+02    0.3310571924E+00    0.9175000000E+01    0.6053333333E+00    0.4581581864E+00
       157   -0.6993737985E+01   -0.6819991301E+01    0.5802259061E+01    0.1381250000E+02    0.3250362319E+00    0.8875000000E+01    0.6053333333E+00    0.4382309674E+00
       158   -0.6554757487E+01   -0.6353192270E+01    0.4641807249E+01    0.1368750000E+02    0.3082632541E+00    0.9050000000E+01    0.6053333333E+00    0.4209326688E+00
       159   -0.8112079145E+01   -0.8562982024E+01    0.1160451812E+02    0.1342500000E+02    0.2053122088E+00    0.1052500000E+02    0.7568000000E+00    0.4534664379E+00
       160   -0.7182816003E+01   -0.7252543122E+01    0.7736345414E+01    0.1302500000E+02    0.2076080692E+00    0.1017500000E+02    0.7568000000E+00    0.4411273269E+00
       161   -0.6702375534E+01   -0.6560335158E+01    0.5802259061E+01    0.1247500000E+02    0.2033500502E+00    0.9800000000E+01    0.7568000000E+00    0.4196768267E+00
       162   -0.6239370676E+01   -0.6156280961E+01    0.4641807249E+01    0.1186250000E+02    0.2129535865E+00    0.9200000000E+01    0.7568000000E+00    0.3981741161E+00
       163   -0.9251828213E+01   -0.9259605579E+01    0.1160451812E+02    0.1982539683E+02    0.6328846154E+00    0.1158730159E+02    0.9428571429E+00    0.5133729660E+00
